,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
2876,0.9,1.7,-3.3,1,48.219894800000006,26
2875,0.9,1.7,-3.4,1,48.2198948,24
4703,1.2,1.8,-3.0,1,34.4544481,11
2874,0.9,1.7,-3.5,1,33.9024795,3
4655,1.2,1.7,-3.0,1,21.97306198,10
1929,0.7,1.5,-2.9,1,15.77612976,5
2840,0.9,1.6,-2.6,1,55.9544152,4
1956,0.7,1.5,-2.6,1,21.335969693750002,16
2821,0.9,1.6,-2.7,1,36.50843125,10
556,-1.3,1.3,-4.4,1,13.2540569,12
2800,0.9,1.6,-2.8,1,17.082966835714284,14
1981,0.7,1.6,-3.2,1,22.150518766666664,3
2777,0.9,1.6,-2.9,1,92.45989254166666,12
771,-1.3,1.7,-4.2,1,19.63619015,4
1984,0.7,1.6,-3.1,1,26.06783901111111,9
2873,0.9,1.7,-3.6,1,33.9024795,3
2007,0.7,1.6,-2.8,1,13.162422785714286,7
1105,-1.2,1.7,-4.0,1,21.7635679,1
2020,0.7,1.6,-2.7,1,23.325555516666668,6
2149,0.8,1.5,-3.2,1,16.2745384,1
2417,0.8,1.7,-2.8,1,22.425074925,4
2158,0.8,1.5,-3.0,1,15.6515276,1
2405,0.8,1.7,-2.9,1,11.98723618888889,18
2201,0.8,1.5,-2.7,1,15.217662766666669,9
2394,0.8,1.7,-3.0,1,48.2198948,2
2216,0.8,1.5,-2.6,1,86.79295171111113,9
2388,0.8,1.7,-3.1,1,48.2198948,1
2387,0.8,1.7,-3.2,1,48.2198948,2
456,-1.4,1.8,-4.2,1,11.9872177,5
2385,0.8,1.7,-3.4,1,48.2198948,2
2383,0.8,1.7,-3.5,1,48.2198948,3
2382,0.8,1.7,-3.6,1,48.2198948,1
465,-1.4,1.8,-4.1,1,11.9872177,6
2366,0.8,1.6,-2.5,1,37.6965788,1
2351,0.8,1.6,-2.6,1,27.8970141,16
844,-1.3,1.8,-4.2,1,13.2540569,4
2260,0.8,1.6,-3.3,1,56.07385904444445,9
2255,0.8,1.6,-3.5,1,33.9024795,2
2253,0.8,1.6,-3.6,1,33.9024795,1
2264,0.8,1.6,-3.2,1,37.36369896363636,11
2267,0.8,1.6,-3.1,1,30.376891280000002,5
874,-1.3,1.8,-4.0,1,21.7635679,3
2428,0.8,1.7,-2.7,1,22.740103780000002,5
2275,0.8,1.6,-3.0,1,22.4210209,8
2297,0.8,1.6,-2.9,1,75.72092779285715,14
882,-1.3,1.8,-3.9,1,21.7635679,9
930,-1.2,1.3,-4.3,1,21.7635679,2
2317,0.8,1.6,-2.8,1,11.6193231,2
2248,0.8,1.6,-3.8,1,33.9024795,1
2336,0.8,1.6,-2.7,1,23.548315539999997,10
2250,0.8,1.6,-3.7,1,33.9024795,16
2147,0.8,1.5,-3.3,1,16.2745384,1
823,-1.3,1.7,-3.9,1,21.7635679,1
2439,0.8,1.7,-2.6,1,37.6965788,4
2573,0.9,1.4,-2.5,1,142.487658,4
1898,0.7,1.4,-2.6,1,22.14163322222222,9
1119,-1.2,1.7,-3.9,1,21.7635679,3
2605,0.9,1.5,-3.0,1,121.34830293333334,6
2058,0.7,1.7,-2.9,1,11.6193231,2
2055,0.7,1.7,-3.0,1,11.6193231,2
2560,0.9,1.4,-2.6,1,142.487658,2
2628,0.9,1.5,-2.9,1,129.60410599000002,10
2052,0.7,1.7,-3.4,1,48.2198948,2
2649,0.9,1.5,-2.8,1,45.086208729999996,10
535,-1.3,1.2,-4.3,1,11.9872177,13
2669,0.9,1.5,-2.7,1,53.71834722142857,28
2030,0.7,1.6,-2.6,1,22.740103780000002,5
2689,0.9,1.5,-2.6,1,30.627628686666664,15
4877,1.3,1.5,-2.9,1,142.487658,3
2707,0.9,1.5,-2.5,1,33.9024795,1
526,-1.3,1.2,-4.4,1,13.2540569,2
2100,0.8,1.4,-2.8,1,33.6987006,9
2446,0.8,1.7,-2.5,1,37.6965788,1
2140,0.8,1.4,-2.4,1,142.487658,1
2452,0.8,1.8,-3.4,1,48.2198948,3
2453,0.8,1.8,-3.3,1,48.2198948,11
2454,0.8,1.8,-3.2,1,48.2198948,1
2455,0.8,1.8,-3.1,1,48.2198948,19
2543,0.9,1.4,-2.7,1,33.6987006,3
2135,0.8,1.4,-2.5,1,142.487658,15
518,-1.3,1.2,-4.5,1,13.2540569,1
2494,0.9,1.4,-3.0,1,22.8703968,5
2125,0.8,1.4,-2.6,1,142.487658,3
2511,0.9,1.4,-2.9,1,33.6987006,14
2111,0.8,1.4,-2.7,1,33.6987006,1
2525,0.9,1.4,-2.8,1,33.6987006,5
858,-1.3,1.8,-4.1,1,21.7635679,1
1890,0.7,1.4,-2.7,1,27.682976266666667,3
1871,0.7,1.3,-2.6,1,33.6987006,1
1888,0.7,1.4,-2.8,1,15.6515276,1
4228,1.1,1.8,-2.9,1,37.6965788,4
3493,1.0,1.7,-3.0,1,16.383733352173913,23
643,-1.3,1.5,-4.4,1,13.2540569,1
3476,1.0,1.7,-3.1,1,39.897556325,4
3469,1.0,1.7,-3.2,1,48.2198948,1
3466,1.0,1.7,-3.3,1,33.9024795,2
3465,1.0,1.7,-3.4,1,33.9024795,19
712,-1.3,1.6,-4.2,1,21.7635679,3
4247,1.1,1.8,-2.8,1,37.6965788,6
4254,1.1,1.8,-2.7,1,37.6965788,1
1722,0.5,1.6,-2.9,1,22.4210209,3
1725,0.5,1.6,-2.8,1,22.4210209,5
3422,1.0,1.6,-2.7,1,74.70116024000001,5
1729,0.5,1.6,-2.6,1,22.4210209,1
4258,1.1,1.9,-3.0,1,34.4544481,35
3400,1.0,1.6,-2.8,1,81.562196785,20
4285,1.2,1.2,-3.1,1,142.487658,2
3377,1.0,1.6,-2.9,1,66.0783717923077,78
1736,0.5,1.7,-3.4,1,48.2198948,1
3353,1.0,1.6,-3.0,1,130.50053535609757,41
2932,0.9,1.7,-2.8,1,24.99329578,5
3334,1.0,1.6,-3.1,1,129.0208346857143,7
236,-1.4,1.2,-4.3,1,11.9872177,7
1739,0.5,1.7,-3.0,1,22.4210209,1
3325,1.0,1.6,-3.3,1,33.9024795,3
242,-1.4,1.2,-4.2,1,11.9872177,1
3323,1.0,1.6,-3.4,1,33.9024795,1
4362,1.2,1.4,-3.2,1,142.487658,2
4377,1.2,1.4,-3.0,1,142.487658,1
3517,1.0,1.7,-2.9,1,22.4471311057971,69
1741,0.5,1.7,-2.9,1,22.4210209,1
1711,0.5,1.5,-2.6,1,22.4210209,2
3541,1.0,1.7,-2.8,1,28.431430863636365,11
3959,1.1,1.5,-2.7,1,142.487658,13
3991,1.1,1.6,-3.3,1,33.9024795,3
3937,1.1,1.5,-2.8,1,142.487658,18
3994,1.1,1.6,-3.2,1,48.2198948,4
3915,1.1,1.5,-2.9,1,90.32672241428573,35
4004,1.1,1.6,-3.1,1,48.2198948,1
3893,1.1,1.5,-3.0,1,142.487658,5
3880,1.1,1.5,-3.1,1,95.3537764,2
4026,1.1,1.6,-3.0,1,52.864294283333344,12
3869,1.1,1.5,-3.2,1,142.487658,3
3818,1.1,1.4,-2.8,1,142.487658,7
3797,1.1,1.4,-2.9,1,142.487658,11
4050,1.1,1.6,-2.9,1,51.76808906595745,47
3778,1.1,1.4,-3.0,1,142.487658,3
4073,1.1,1.6,-2.8,1,109.82112561578948,19
3735,1.1,1.3,-2.9,1,142.487658,2
3729,1.1,1.3,-3.0,1,142.487658,1
4095,1.1,1.6,-2.7,1,142.487658,44
696,-1.3,1.6,-4.3,1,13.2540569,4
4112,1.1,1.7,-3.2,1,48.2198948,2
3654,1.0,1.8,-2.7,1,37.6965788,1
3643,1.0,1.8,-2.8,1,37.6965788,9
3626,1.0,1.8,-2.9,1,35.94534511538461,26
4137,1.1,1.7,-3.0,1,13.6521379,5
657,-1.3,1.5,-4.3,1,13.2540569,6
3605,1.0,1.8,-3.0,1,24.03695606,5
4161,1.1,1.7,-2.9,1,19.84722883,10
4184,1.1,1.7,-2.8,1,23.794491742857144,7
3563,1.0,1.7,-2.7,1,36.886046125,4
4208,1.1,1.8,-3.0,1,34.4544481,34
1743,0.5,1.8,-3.4,1,48.2198948,1
2257,0.8,1.6,-3.4,1,21.311093,7
1778,0.6,1.5,-2.8,1,16.2745384,1
1859,0.6,1.7,-2.9,1,22.4210209,2
4430,1.2,1.4,-2.7,1,142.487658,3
2996,0.9,1.8,-2.9,1,37.6965788,13
1856,0.6,1.7,-3.0,1,22.4210209,1
1790,0.6,1.5,-2.6,1,35.32045785,2
4445,1.2,1.5,-3.2,1,142.487658,1
3145,1.0,1.4,-2.7,1,33.6987006,2
1813,0.6,1.6,-3.1,1,16.2745384,6
3124,1.0,1.4,-2.8,1,33.6987006,32
283,-1.4,1.4,-4.3,1,11.9872177,1
1853,0.6,1.7,-3.4,1,48.2198948,4
1820,0.6,1.6,-2.9,1,22.4210209,1
3017,0.9,1.8,-2.7,1,37.6965788,1
3021,0.9,1.9,-3.0,1,37.6965788,7
3086,1.0,1.4,-3.0,1,142.487658,1
4492,1.2,1.5,-2.9,1,78.06989795000001,2
1754,0.6,1.4,-3.0,1,15.6515276,1
599,-1.3,1.4,-4.4,1,16.348424536363638,11
3032,0.9,1.9,-2.9,1,37.6965788,5
1832,0.6,1.6,-2.7,1,22.4210209,4
4514,1.2,1.5,-2.8,1,142.487658,4
3037,0.9,1.9,-2.8,1,37.6965788,4
4532,1.2,1.5,-2.7,1,142.487658,6
3193,1.0,1.5,-3.1,1,142.487658,1
1776,0.6,1.5,-2.9,1,16.2745384,5
1840,0.6,1.6,-2.6,1,22.4210209,1
574,-1.3,1.3,-4.3,1,17.5088124,2
3253,1.0,1.5,-2.8,1,55.89210950408164,49
1886,0.7,1.4,-2.9,1,15.6515276,4
1762,0.6,1.4,-2.6,1,15.6515276,1
614,-1.3,1.4,-4.3,1,21.7635679,2
1766,0.6,1.4,-2.5,1,48.2198948,9
3230,1.0,1.5,-2.9,1,78.35708170952383,21
1884,0.7,1.4,-3.0,1,15.6515276,1
2970,0.9,1.7,-2.6,1,37.6965788,11
2954,0.9,1.7,-2.7,1,37.6965788,7
4396,1.2,1.4,-2.9,1,142.487658,2
4597,1.2,1.6,-2.9,1,32.0572122,7
2982,0.9,1.8,-3.3,1,48.2198948,4
1774,0.6,1.5,-3.1,1,15.6515276,3
1755,0.6,1.4,-2.9,1,15.6515276,3
1881,0.7,1.4,-3.1,1,15.6515276,2
3208,1.0,1.5,-3.0,1,142.487658,16
265,-1.4,1.3,-4.3,1,11.9872177,1
3274,1.0,1.5,-2.7,1,88.79257725000001,2
3977,1.1,1.5,-2.6,1,142.487658,1
2986,0.9,1.8,-3.0,1,37.6965788,9
4415,1.2,1.4,-2.8,1,142.487658,10
1759,0.6,1.4,-2.7,1,15.6515276,2
1757,0.6,1.4,-2.8,1,16.1187857,4
674,-1.3,1.6,-4.5,2,10.3830389,1
1062,-1.2,1.7,-4.3,2,12.8082919,2
1052,-1.2,1.7,-4.4,2,15.2335449,1
1022,-1.2,1.6,-4.2,2,15.2335449,1
931,-1.2,1.3,-4.3,2,15.2335449,1
983,-1.2,1.5,-4.3,2,15.2335449,1
743,-1.3,1.7,-4.4,2,15.2335449,8
958,-1.2,1.4,-4.3,2,15.2335449,2
753,-1.3,1.7,-4.3,2,13.778393099999999,10
875,-1.3,1.8,-4.0,2,15.2335449,1
697,-1.3,1.6,-4.3,2,10.3830389,3
999,-1.2,1.6,-4.4,2,10.3830389,1
814,-1.3,1.7,-4.0,2,15.2335449,4
557,-1.3,1.3,-4.4,2,10.3830389,1
2217,0.8,1.5,-2.6,2,54.8565051,2
536,-1.3,1.2,-4.3,2,12.546061700000001,12
2008,0.7,1.6,-2.8,2,16.2535122,2
1120,-1.2,1.7,-3.9,2,15.2335449,1
2059,0.7,1.7,-2.9,2,18.0705045,3
2082,0.8,1.3,-2.7,2,54.8565051,1
1153,-1.2,1.8,-3.9,2,15.2335449,1
630,-1.3,1.5,-4.5,2,10.3830389,6
2089,0.8,1.4,-3.0,2,14.3085217,2
527,-1.3,1.2,-4.4,2,12.5460617,2
1998,0.7,1.6,-2.9,2,16.2535122,1
546,-1.3,1.3,-4.5,2,10.3830389,2
2101,0.8,1.4,-2.8,2,54.8565051,1
2112,0.8,1.4,-2.7,2,19.4064042,2
713,-1.3,1.6,-4.2,2,15.2335449,1
2126,0.8,1.4,-2.6,2,54.8565051,1
772,-1.3,1.7,-4.2,2,11.595665400000001,8
644,-1.3,1.5,-4.4,2,10.3830389,1
600,-1.3,1.4,-4.4,2,15.2335449,1
1957,0.7,1.5,-2.6,2,54.8565051,1
1606,0.1,0.0,-3.8,2,23.4094356,3
824,-1.3,1.7,-3.9,2,15.2335449,1
738,-1.3,1.7,-4.5,2,12.5460617,13
1089,-1.2,1.7,-4.1,2,13.2933425,5
2159,0.8,1.5,-3.0,2,14.3085217,2
1833,0.6,1.6,-2.7,2,16.2535122,6
1930,0.7,1.5,-2.9,2,14.3085217,1
828,-1.3,1.8,-4.4,2,12.5460617,2
1924,0.7,1.5,-3.0,2,14.308521700000002,29
658,-1.3,1.5,-4.3,2,15.2335449,2
1075,-1.2,1.7,-4.2,2,12.8082919,2
1106,-1.2,1.7,-4.0,2,10.3830389,1
5155,4.3,5.2,-6.7,2,23.4094356,1
3798,1.1,1.4,-2.9,2,21.996940563636365,11
249,-1.4,1.3,-4.5,2,10.3830389,1
237,-1.4,1.2,-4.3,2,12.5460617,2
3335,1.0,1.6,-3.1,2,54.8565051,1
3354,1.0,1.6,-3.0,2,23.672042434782608,23
3378,1.0,1.6,-2.9,2,20.31044641875,48
3401,1.0,1.6,-2.8,2,36.762695029999996,10
3423,1.0,1.6,-2.7,2,30.8740319,2
3294,1.0,1.5,-2.6,2,54.8565051,1
3442,1.0,1.6,-2.6,2,30.8740319,1
3494,1.0,1.7,-3.0,2,33.70083786086957,69
3518,1.0,1.7,-2.9,2,23.78937285,32
3542,1.0,1.7,-2.8,2,27.568833910714286,28
3592,1.0,1.8,-3.1,2,20.3959951,28
3606,1.0,1.8,-3.0,2,15.378993123529412,17
3627,1.0,1.8,-2.9,2,17.7307128,2
3664,1.0,1.9,-3.0,2,20.3959951,1
3477,1.0,1.7,-3.1,2,33.02696828571428,28
3709,1.1,1.2,-2.9,2,54.8565051,1
3254,1.0,1.5,-2.8,2,49.792204971428575,7
3209,1.0,1.5,-3.0,2,45.672608011111116,9
2955,0.9,1.7,-2.7,2,53.3306484,1
2983,0.9,1.8,-3.1,2,16.84228536666667,3
2987,0.9,1.8,-3.0,2,15.0654305,14
2997,0.9,1.8,-2.9,2,15.0654305,5
3010,0.9,1.8,-2.8,2,15.0654305,1
3020,0.9,1.9,-3.1,2,20.3959951,1
3022,0.9,1.9,-3.0,2,20.3959951,1
3231,1.0,1.5,-2.9,2,31.688147358333335,12
297,-1.4,1.5,-4.4,2,12.5460617,1
3077,1.0,1.4,-3.2,2,54.8565051,2
3103,1.0,1.4,-2.9,2,23.10006384,5
3125,1.0,1.4,-2.8,2,19.4064042,47
3161,1.0,1.4,-2.6,2,54.8565051,1
3187,1.0,1.5,-3.2,2,54.8565051,1
269,-1.4,1.4,-4.5,2,10.3830389,1
3194,1.0,1.5,-3.1,2,54.8565051,14
