,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
1963,0.5,1.1,-3.3,0,9.2590047,1
1964,0.5,1.1,-3.2,0,9.2590047,1
1965,0.5,1.1,-3.1,0,16.0520511,2
1966,0.5,1.2,-4.0,0,20.7825794,1
1967,0.5,1.2,-3.9,0,20.7825794,1
1968,0.5,1.2,-2.8,0,31.6345165,1
1970,0.5,1.3,-3.8,0,20.7825794,2
1971,0.5,1.3,-3.7,0,20.7825794,2
1972,0.5,1.3,-2.9,0,20.4700172,2
1974,0.5,1.4,-3.9,0,41.4921165,1
1981,0.6,0.8,-3.3,0,7.7180283,2
1913,0.4,0.9,-3.2,0,22.8450975,2
2183,0.7,1.1,-3.6,0,5.4456027,1
2185,0.7,1.1,-3.2,0,20.7825794,4
2187,0.7,1.1,-3.0,0,31.6345165,6
2463,0.8,1.2,-3.2,0,20.7825794,1
2465,0.8,1.2,-3.0,0,9.2590047,1
2477,0.8,1.3,-4.1,0,9.0027613,2
1889,0.3,0.9,-3.2,0,22.845097499999998,3
2642,0.9,0.8,-3.1,0,15.690191033333335,3
1888,0.3,0.9,-3.3,0,22.845097499999998,3
1885,0.3,0.8,-3.2,0,22.845097499999998,3
1884,0.3,0.8,-3.3,0,7.7180283,7
1883,0.3,0.8,-3.4,0,7.7180283,4
1879,0.2,1.3,-4.0,0,41.4921165,1
1878,0.2,1.3,-4.1,0,41.4921165,1
2795,0.9,1.0,-3.7,0,39.324583,4
2799,0.9,1.0,-3.2,0,12.278,2
2461,0.8,1.2,-3.5,0,12.278,1
2801,0.9,1.0,-3.1,0,9.2590047,1
1876,0.2,1.2,-2.9,0,15.02551785,2
1875,0.2,1.2,-3.0,0,9.5810185,2
1874,0.2,1.2,-3.1,0,9.5810185,1
1873,0.2,1.2,-3.9,0,41.4921165,1
1872,0.2,1.2,-4.0,0,41.4921165,1
1871,0.2,1.1,-2.5,0,21.4769528,2
2850,0.9,1.1,-3.7,0,39.324583,5
2851,0.9,1.1,-3.5,0,5.4456027,1
2853,0.9,1.1,-3.4,0,5.4456027,1
2854,0.9,1.1,-3.3,0,20.7825794,1
1870,0.2,1.1,-2.9,0,20.4700172,3
2856,0.9,1.1,-3.2,0,15.1128598,3
2862,0.9,1.1,-3.0,0,31.6345165,2
1877,0.2,1.2,-2.7,0,31.6345165,1
1868,0.2,1.1,-3.1,0,21.4769528,5
2460,0.8,1.2,-3.7,0,39.324583,1
2437,0.8,1.1,-2.9,0,31.6345165,3
2188,0.7,1.1,-2.9,0,31.6345165,1
2205,0.7,1.2,-3.6,0,20.7825794,3
2206,0.7,1.2,-3.5,0,20.7825794,1
2208,0.7,1.2,-3.2,0,20.7825794,1
779,-1.4,1.2,-4.1,0,3.3410101,4
2209,0.7,1.2,-3.1,0,9.2590047,2
2210,0.7,1.2,-3.0,0,31.6345165,1
1900,0.3,1.1,-3.6,0,41.4921165,1
1899,0.3,1.1,-3.7,0,23.468859600000002,2
1898,0.3,1.1,-3.8,0,41.4921165,22
2334,0.8,0.9,-3.2,0,5.4230068,1
1897,0.3,1.1,-3.9,0,41.4921165,14
2337,0.8,0.9,-3.1,0,5.4230068,3
717,-1.4,1.2,-4.5,0,3.4730048,1
2374,0.8,1.0,-3.7,0,39.324583,1
