,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
3087,0.8,1.1,-2.8,0,18.20920942,5
4857,1.1,1.1,-2.8,0,25.176803824999997,12
5338,1.2,0.9,-2.8,0,9.5810185,1
2230,0.6,0.9,-2.8,0,31.6345165,6
2333,0.6,1.1,-2.8,0,31.6345165,5
842,-1.2,1.2,-4.2,0,3.4730048,1
2228,0.6,0.9,-3.1,0,12.278,1
2224,0.6,0.9,-3.4,0,7.7180283,1
5629,1.2,1.2,-2.9,0,22.845097499999998,3
4068,1.0,1.0,-3.9,0,22.3400027,1
134,-1.4,1.2,-4.3,0,3.4730048,1
4067,1.0,1.0,-4.0,0,22.3400027,1
6493,1.4,1.1,-2.8,0,22.845097499999998,3
6232,1.3,1.3,-2.9,0,9.8234594,1
4066,1.0,1.0,-4.2,0,22.3400027,3
4339,1.0,1.3,-2.8,0,41.4921165,1
4065,1.0,1.0,-4.3,0,22.3400027,4
3002,0.8,1.0,-4.3,0,22.3400027,1
3003,0.8,1.0,-3.6,0,22.3400027,2
2336,0.6,1.1,-2.7,0,31.6345165,3
3004,0.8,1.0,-3.5,0,22.3400027,9
2674,0.7,1.1,-2.7,0,31.6345165,1
4168,1.0,1.1,-3.0,0,5.4230068,2
4381,1.0,1.4,-4.0,0,9.8234594,2
2669,0.7,1.1,-2.8,0,31.6345165,15
2174,0.6,0.8,-2.8,0,31.6345165,1
4382,1.0,1.4,-3.9,0,9.0027613,3
3011,0.8,1.0,-2.8,0,9.2590047,3
2662,0.7,1.1,-3.1,0,12.278,7
5734,1.2,1.3,-2.8,0,18.50455146666667,3
4652,1.1,0.9,-2.8,0,18.730172166666666,3
45,-1.5,1.2,-4.2,0,3.4730048,1
862,-1.2,1.2,-4.1,0,3.3410101,1
2446,0.7,0.8,-3.5,0,20.7825794,7
4165,1.0,1.1,-3.1,0,5.4456027,1
2447,0.7,0.8,-3.4,0,20.7825794,2
2445,0.7,0.8,-3.6,0,22.3400027,13
6180,1.3,1.2,-2.8,0,22.8450975,2
2448,0.7,0.8,-3.3,0,20.7825794,2
4160,1.0,1.1,-3.5,0,39.324583,15
4159,1.0,1.1,-3.6,0,39.324583,5
2323,0.6,1.1,-3.9,0,5.4456027,2
2282,0.6,1.0,-2.8,0,20.4467606,2
2281,0.6,1.0,-2.9,0,9.2590047,2
2280,0.6,1.0,-3.0,0,10.76850235,4
2331,0.6,1.1,-2.9,0,9.2590047,2
2278,0.6,1.0,-3.1,0,12.278,2
4157,1.0,1.1,-3.8,0,39.324583,1
5223,1.2,0.7,-2.9,0,21.4769528,2
5222,1.2,0.7,-3.0,0,21.4769528,1
2923,0.8,0.9,-3.5,0,22.3400027,2
5699,1.2,1.3,-3.4,0,9.0027613,1
4321,1.0,1.3,-4.0,0,9.8234594,3
2456,0.7,0.8,-2.8,0,20.7825794,1
5509,1.2,1.1,-4.2,0,22.3400027,3
4674,1.1,0.9,-2.7,0,22.3400027,3
2466,0.7,0.8,-2.7,0,20.7825794,1
2939,0.8,0.9,-2.7,0,20.7825794,3
2328,0.6,1.1,-3.0,0,9.2590047,1
4158,1.0,1.1,-3.7,0,39.324583,2
4024,1.0,0.9,-2.6,0,22.3400027,2
2168,0.6,0.8,-3.1,0,9.99801415,4
1127,-1.1,1.1,-4.0,0,3.3410101,4
5610,1.2,1.2,-3.2,0,9.0027613,2
6245,1.3,1.3,-2.8,0,9.8234594,1
4254,1.0,1.2,-4.1,0,9.0027613,1
2096,0.5,1.1,-2.7,0,31.6345165,1
3081,0.8,1.1,-3.1,0,12.278,3
3897,1.0,0.8,-2.7,0,22.3400027,3
2092,0.5,1.1,-2.9,0,9.2590047,1
5608,1.2,1.2,-3.3,0,9.0027613,2
4255,1.0,1.2,-4.0,0,9.0027613,1
4256,1.0,1.2,-3.6,0,39.324583,1
4630,1.1,0.9,-2.9,0,21.4769528,1
3874,1.0,0.8,-2.8,0,19.676272400000002,4
2166,0.6,0.8,-3.3,0,20.7825794,1
4478,1.1,0.7,-3.0,0,21.4769528,1
2090,0.5,1.1,-3.0,0,9.2590047,3
4550,1.1,0.8,-2.8,0,12.278,1
2089,0.5,1.1,-3.8,0,5.4456027,1
2088,0.5,1.1,-3.9,0,5.4456027,1
4289,1.0,1.2,-2.7,0,9.8234594,1
2600,0.7,1.0,-2.8,0,25.24151312857143,7
4728,1.1,1.0,-4.1,0,22.3400027,2
2824,0.8,0.8,-3.6,0,22.3400027,3
2597,0.7,1.0,-3.0,0,12.278,12
2596,0.7,1.0,-3.1,0,12.278,2
2595,0.7,1.0,-3.4,0,7.7180283,2
2594,0.7,1.0,-3.5,0,22.3400027,2
6416,1.4,1.0,-2.9,0,5.4230068,2
3077,0.8,1.1,-3.2,0,13.915347774999999,4
5516,1.2,1.1,-3.0,0,5.4456027,1
778,-1.2,1.1,-4.1,0,2.9725091999999997,3
2658,0.7,1.1,-3.3,0,5.4456027,1
4383,1.0,1.4,-3.8,0,9.0027613,1
155,-1.4,1.3,-4.1,0,3.4730048,1
4005,1.0,0.9,-2.7,0,22.3400027,2
6130,1.3,1.1,-2.7,0,22.8450975,2
2656,0.7,1.1,-3.5,0,28.031589566666668,3
2870,0.8,0.8,-2.6,0,20.7825794,2
2655,0.7,1.1,-3.6,0,9.8234594,3
5546,1.2,1.1,-2.8,0,18.950515892857144,14
2654,0.7,1.1,-3.7,0,5.4456027,1
5650,1.2,1.2,-2.8,0,21.974414933333335,9
2653,0.7,1.1,-3.9,0,5.4456027,2
3075,0.8,1.1,-3.4,0,39.324583,1
5527,1.2,1.1,-2.9,0,20.481160141666667,12
2113,0.5,1.3,-2.7,0,31.6345165,1
3959,1.0,0.9,-3.9,0,22.3400027,1
3960,1.0,0.9,-3.8,0,22.3400027,1
2107,0.5,1.2,-2.7,0,31.6345165,1
3073,0.8,1.1,-3.5,0,39.324583,4
6401,1.4,1.0,-3.0,0,5.430538766666667,3
6282,1.3,1.4,-2.8,0,9.8234594,3
2847,0.8,0.8,-2.7,0,20.160457919047616,21
3072,0.8,1.1,-3.6,0,39.324583,1
3071,0.8,1.1,-4.2,0,22.3400027,1
3407,0.9,0.9,-2.9,1,60.003365200000005,8
3412,0.9,0.9,-2.8,1,14.930540900000002,3
4302,1.0,1.2,-2.6,1,142.487658,2
629,-1.2,0.9,-4.2,1,21.7635679,3
